STATE,FDID,INC_DATE,INC_NO,DEVI_CONT,DEVI_IGNIT,DEVI_FUEL
AK,13000,2032007,117,,,
AK,13000,2032007,118,,,
AK,13000,3252007,307,,,
AK,13000,4202007,388,,,
AK,13000,5232007,502,,,
AK,13000,12032007,1419,13,UU,14
AK,13000,12152007,1473,,,
AK,15000,8102007,32,,,
AK,21100,1012007,1,,,
AK,21100,12122007,31,,,
AK,23100,1012007,38,,,
AK,23100,1012007,96,,,
AK,23100,1022007,145,,,
AK,23100,1032007,203,,,
AK,23100,1052007,481,,,
AK,23100,1062007,531,,,
AK,23100,1082007,722,,,
AK,23100,1082007,732,,,
AK,23100,1092007,786,,,
AK,23100,1092007,840,,,
AK,23100,1102007,899,,,
AK,23100,1112007,1041,,,
AK,23100,1122007,1128,,,
AK,23100,1132007,1173,,,
AK,23100,1152007,1328,,,
AK,23100,1172007,1555,,,
AK,23100,1212007,1907,,,
AK,23100,1252007,2246,,,
AK,23100,1272007,2451,,,
AK,23100,1292007,2605,,,
AK,23100,1302007,2653,,,
AK,23100,1302007,2674,,,
AK,23100,2062007,3315,,,
AK,23100,2092007,3580,,,
AK,23100,2092007,3584,,,
AK,23100,2102007,3735,,,
AK,23100,2152007,4134,,,
AK,23100,2172007,4282,,,
AK,23100,2172007,4310,,,
AK,23100,2172007,4326,,,
AK,23100,2192007,4468,,,
AK,23100,2212007,4658,,,
AK,23100,2212007,4687,,,
AK,23100,2212007,4694,,,
AK,23100,2222007,4787,,,
AK,23100,2222007,4794,,,
AK,23100,2232007,4871,,,
AK,23100,2282007,5331,,,
AK,23100,3012007,5377,,,
AK,23100,3012007,5460,,,
AK,23100,3022007,5491,,,
AK,23100,3022007,5519,,,
AK,23100,3032007,5629,,,
AK,23100,3042007,5685,,,
AK,23100,3052007,5767,,,
AK,23100,3082007,6103,,,
AK,23100,3082007,6139,,,
AK,23100,3082007,6140,,,
AK,23100,3092007,6211,,,
AK,23100,3102007,6339,,,
AK,23100,3112007,6415,,,
AK,23100,3132007,6559,,,
AK,23100,3142007,6626,,,
AK,23100,3142007,6665,,,
AK,23100,3142007,6674,,,
AK,23100,3142007,6675,,,
AK,23100,3142007,6701,,,
AK,23100,3142007,6702,,,
AK,23100,3152007,6729,,,
AK,23100,3162007,6802,,,
AK,23100,3172007,6989,,,
AK,23100,3182007,7079,,,
AK,23100,3202007,7229,,,
AK,23100,3222007,7444,,,12
AK,23100,3232007,7460,,,
AK,23100,3232007,7521,,,
AK,23100,3242007,7566,,,
AK,23100,3242007,7592,,,
AK,23100,3252007,7624,,,
AK,23100,3252007,7625,,,
AK,23100,3282007,7859,,,
AK,23100,3292007,7937,,,14
AK,23100,3292007,7951,,,
AK,23100,3312007,8196,,,
AK,23100,4022007,8314,,,
AK,23100,4072007,8833,,,
AK,23100,4082007,8885,,,
AK,23100,4092007,8947,,,
AK,23100,4092007,8967,,,
AK,23100,4102007,9115,,,
AK,23100,4112007,9138,,,
AK,23100,4112007,9172,,,
AK,23100,4122007,9211,,UU,12
AK,23100,4142007,9415,,,
AK,23100,4142007,9416,,,
AK,23100,4152007,9533,,,
AK,23100,4162007,9596,,,
AK,23100,4162007,9633,,,
AK,23100,4162007,9648,,,
AK,23100,4172007,9674,,,
AK,23100,4172007,9726,,,
AK,23100,4182007,9833,,,
AK,23100,4192007,9934,,,
AK,23100,4192007,9947,,,
AK,23100,4202007,9975,,,
AK,23100,4202007,10040,,,
AK,23100,4212007,10058,,,
AK,23100,4252007,10414,,,
AK,23100,4252007,10434,,,
AK,23100,4252007,10449,,,
AK,23100,4262007,10476,,,
AK,23100,4262007,10555,,,
AK,23100,4272007,10586,,,
AK,23100,4282007,10647,,,
AK,23100,4292007,10810,,,
AK,23100,4302007,10857,,,
AK,23100,4302007,10898,,,
AK,23100,5022007,11063,,,
AK,23100,5022007,11092,,,
AK,23100,5042007,11220,,,
AK,23100,5042007,11267,,,
AK,23100,5052007,11386,,,
AK,23100,5062007,11501,,,
AK,23100,5092007,11673,,,
AK,23100,5102007,11784,,,
AK,23100,5112007,11894,,,
AK,23100,5112007,11920,,,
AK,23100,5122007,12013,,,
AK,23100,5142007,12129,,,
AK,23100,5142007,12148,,,
AK,23100,5162007,12329,,,
AK,23100,5172007,12352,,,
AK,23100,5172007,12445,,,
AK,23100,5182007,12464,,,
AK,23100,5182007,12467,,,
AK,23100,5202007,12647,,,
AK,23100,5202007,12695,,,
AK,23100,5202007,12710,,,
AK,23100,5202007,12726,,,
AK,23100,5222007,12836,,,
AK,23100,5222007,12908,,,
AK,23100,5232007,12938,,,
AK,23100,5242007,13037,,,
